,stationery_id,image_url,stationery_name,stationery_code,Price,category,stock_quantity,,
,1,https://www.mybidhaa.co.ke/food_images/1735563252.png,CLEAR COVERS,45464,100,Stationaries,96,,
,2,https://www.mybidhaa.co.ke/food_images/1735563252.png,STAEDTLER COLOURED PENCILS,45465,380,Stationaries,98,,
,3,https://www.mybidhaa.co.ke/food_images/1735628892.png,BLACK PELIKAN ERASER,45466,75,Stationaries,91,,
,4,https://www.mybidhaa.co.ke/food_images/1735630710.png,PORTOFOLIO  FILE,45467,290,Stationaries,97,,
,5,https://www.mybidhaa.co.ke/food_images/1735630961.png,ACRON READY MIX TEMPERA PAINT,45468,410,Stationaries,100,,
,6,https://www.mybidhaa.co.ke/food_images/1735631701.png,CREPE PAPER,45469,100,Stationaries,93,,
,7,https://www.mybidhaa.co.ke/food_images/1735638372.png,Drawing BOOK A4 20 PAGES,45470,50,Stationaries,90,,
,8,https://www.mybidhaa.co.ke/food_images/1735809639.jpg,Paint Brush No.12,45471,50,Stationaries,99,,
,9,https://www.mybidhaa.co.ke/food_images/1735809516.jpg,Kasuku Exercise Book A5 120 pages Squared,45472,55,Stationaries,99,,
,10,https://www.mybidhaa.co.ke/food_images/1735822668.png,CLEAR PENCIL POUCH,45473,210,Stationaries,100,,
,11,https://www.mybidhaa.co.ke/food_images/1735823370.png,Pritt Glue Stick 43gms,45474,350,Stationaries,91,,
,12,https://www.mybidhaa.co.ke/food_images/1735889971.png,Pritt plasticine,45475,670,Stationaries,100,,
,13,https://www.mybidhaa.co.ke/food_images/1735890347.png,Pritt Crayons,45476,180,Stationaries,100,,
,14,https://www.mybidhaa.co.ke/food_images/1735890789.png,Pelikan Coloured pencils,45477,395,Stationaries,98,,
,15,https://www.mybidhaa.co.ke/food_images/1735973211.png,BODAR FAST FIX,45478,250,Stationaries,100,,
,16,https://www.mybidhaa.co.ke/food_images/1735974240.png,Pair of Scissors,45479,100,Stationaries,97,,
,17,https://www.mybidhaa.co.ke/food_images/1736857943.jpg,FIVE STAR OFFICE GLUE 1L,45480,150,Stationaries,99,,
,18,https://www.mybidhaa.co.ke/food_images/1736858198.jpg,STAEDLER PENCILS 1 BOX,45481,650,Stationaries,93,,
,19,https://www.mybidhaa.co.ke/food_images/1736858337.jpg,BIC BIROS,45482,20,Stationaries,88,,
,20,https://www.mybidhaa.co.ke/food_images/1737442255.jpg,BOOK NAME STICKERS(12 STICKERS),45483,120,Stationaries,100,,
,21,https://www.mybidhaa.co.ke/food_images/1737460040.jpg,PLASTIC SCISSORS,45484,180,Stationaries,100,,
